code,name,country,city
AAE,ANNABA,ALGERIA,AAE
AAN,AL AIN,UAE,AAN
AAT,ALTAY,CHINA,AAT
ABA,ABAKAN,RUSSIAN,ABA
ABD,ABADAN,IRAN,ABD
ABE,ALLENTOWN/BETHLEHEM,USA,ABE
ABI,ABILENE,USA,ABI
ABJ,ABIDJAN,COTE D'LVIRE,ABJ
ABQ,ALBUQUERQUE,USA,ABQ
ABR,ABERDEEN,USA,ABR
ABV,ABUJA,NIGERIA,ABV
ABX,ALBURY,AUSTRALIA,ABX
ABY,ALBANY,USA,ABY
ABZ,ABERDEEN,UK,ABZ
ACA,ACAPULCO,MEXICO,ACA
ACC,ACCRA,GHANA,ACC
ACT,WACO,USA,ACT
ACV,ARCATA,,ACV
ACY,ATLANTIC CITY,USA,AIY
ADA,ADANA,TURKEY,ADA
ADB,IZMIR,TURKEY,ADB
ADE,ADEN,YEMEN,ADE
ADJ,AMMAN,JORDAN,AMM
ADL,ADELAIDE,AUSTRALIA,ADL
ADQ,KODIAK,USA,ADQ
ADU,ARDABIL,IRAN,ADU
ADZ,SAN ANDRES ISLAND,COLOMBIA,ADZ
AEH,ABECHER,CHAD,AEH
AEP,BUENOS AIRES,ARGENTINA,BUE
AEY,AKUREYRI,ICELAND,AEY
AGA,AGADIR,MOROCCO,AGA
AGB,MUNCHEN,GERMANY,AGB
AGF,AGEN,FRANCE,AGF
AGP,MALAGA,SPAIN,AGP
AGR,AGRA,INDIA,AGR
AGS,AUGUSTA,USA,AGS
AGV,ACARIGUA,VENEZUELA,AGV
AHB,ABHA,SAUDI ARABIA,AHB
AIA,ALLIANCE,USA,AIA
AIN,WAINWRIGHT,USA,AIN
AIY,ATLANTIC CITY,USA,AIY
AJA,AJACCIO,FRANCE,AJA
AJU,ARACAJU,BRAZIL,AJU
AKA,ANKANG,CHINA,AKA
AKC,AKRON,USA,AKC
AKJ,ASAHIGAWA,JAPAN,AKJ
AKL,AUCKLAND,NEW ZEALAND,AKL
AKU,AKSU,CHINA,AKU
AKY,SITTWE,MYANMAR,AKY
ALB,ALBANY,USA,ALB
ALC,ALICANTE,SPAIN,ALC
ALG,ALGIERS,ALGERIA,ALG
ALH,ALBANY,AUSTRALIA,ALH
ALJ,ALEXANDER BAY,S.AFRICA,ALJ
ALM,ALAMOGORDO,USA,ALM
ALO,WATERLOO,USA,ALO
ALP,ALEPPO,SYRIAN,ALP
ALY,ALEXANDRIA,EGYPT,ALY
AMA,AMARILLO,USA,AMA
AMI,MATARAM,INDONESIA,AMI
AMM,AMMAN,JORDAN,AMM
AMQ,AMBON,INDONESIA,AMQ
AMS,AMSTERDAM,NETHERLANDS,AMS
ANB,AANNISTON,USA,ANB
ANC,ANCHORAGE,USA,ANC
ANG,ANGOULEME,FRANCE,ANG
ANK,ANKARA,TURKEY,ANK
ANR,ANTWERP,BELGIUM,ANR
ANU,ANTIGUA,LEEWARD ISLAND,ANU
AOG,ANSHAN,CHINA,AOG
AOI,ANCONA,ITALY,AOI
AOJ,AOMORI,JAPAN,AOJ
AOO,ALTOONA,USA,AOO
